P-value for each population pair across all loci
(Fisher's method)
-----------------------------------------------------
Population pair               Chi2      df   P-Value
FTM2_095      & RBL2_095      261.442494200  0.002287
FTM3_093      & RBL2_095      >303.705109202  <0.000005
FTM4_078      & RBL2_095      >268.556133200  <0.000873
FTM5_095      & RBL2_095      >291.392216200  <0.000026
FTM6_095      & RBL2_095      >434.657731202  Highly sign.
KBL1_096      & RBL2_095      >620.602869202  Highly sign.
KBL2_097      & RBL2_095      >538.406025202  Highly sign.
KBL4_096      & RBL2_095      >568.638553200  Highly sign.
KBL5_096      & RBL2_095      >580.372911202  Highly sign.
KOL1_062      & RBL2_095      >563.606380202  Highly sign.
KTE1_096      & RBL2_095      >663.336758202  Highly sign.
KTE2_096      & RBL2_095      >517.207888202  Highly sign.
KTE4_066      & RBL2_095      >515.671040202  Highly sign.
KTE5_096      & RBL2_095      >486.327590202  Highly sign.
KTE6_096      & RBL2_095      >512.753527202  Highly sign.
KTE7_096      & RBL2_095      >606.356530202  Highly sign.
KTE8_096      & RBL2_095      >557.021145202  Highly sign.
KTE9_064      & RBL2_095      >531.756270202  Highly sign.
KTL1_095      & RBL2_095      >494.767553202  Highly sign.
KTL2_095      & RBL2_095      >542.588657202  Highly sign.
RBL1_095      & RBL2_095      231.309912198  0.052464
FBM1_095      & RBL3_095      307.681277200  0.000002
FBM2_095      & RBL3_095      314.717301198  Highly sign.
FBM3_095      & RBL3_095      335.150032198  Highly sign.
FBM4_095      & RBL3_095      >421.027180198  Highly sign.
FTM1_095      & RBL3_095      237.444089202  0.044336
FTM2_095      & RBL3_095      211.960709200  0.267685
FTM3_093      & RBL3_095      264.797412202  0.001987
FTM4_078      & RBL3_095      287.641714200  0.000049
FTM5_095      & RBL3_095      275.551665200  0.000319
FTM6_095      & RBL3_095      >375.925954202  Highly sign.
KBL1_096      & RBL3_095      >519.292659202  Highly sign.
KBL2_097      & RBL3_095      >546.693503202  Highly sign.
KBL4_096      & RBL3_095      >623.312857200  Highly sign.
KBL5_096      & RBL3_095      >559.342756202  Highly sign.
KOL1_062      & RBL3_095      >542.790050202  Highly sign.
KTE1_096      & RBL3_095      >626.422540202  Highly sign.
KTE2_096      & RBL3_095      >562.262911202  Highly sign.
KTE4_066      & RBL3_095      >510.787221202  Highly sign.
KTE5_096      & RBL3_095      >587.794690202  Highly sign.
KTE6_096      & RBL3_095      >564.779457202  Highly sign.
KTE7_096      & RBL3_095      >541.934840202  Highly sign.
KTE8_096      & RBL3_095      >656.234863202  Highly sign.
KTE9_064      & RBL3_095      >531.294248202  Highly sign.
KTL1_095      & RBL3_095      >468.931280202  Highly sign.
KTL2_095      & RBL3_095      >537.024081202  Highly sign.
RBL1_095      & RBL3_095      162.950566198  0.967360
RBL2_095      & RBL3_095      187.914388198  0.685160
FBM1_095      & RBL4_095      >336.865459200  Highly sign.
FBM2_095      & RBL4_095      >288.410241198  <0.000029
FBM3_095      & RBL4_095      >346.458590198  Highly sign.
FBM4_095      & RBL4_095      >441.964954198  Highly sign.
FTM1_095      & RBL4_095      283.870851202  0.000129
FTM2_095      & RBL4_095      293.909656200  0.000017
FTM3_093      & RBL4_095      286.110688202  0.000091
FTM4_078      & RBL4_095      >306.439340200  <0.000002
FTM5_095      & RBL4_095      307.458834200  0.000002
FTM6_095      & RBL4_095      >459.635824202  Highly sign.
KBL1_096      & RBL4_095      >577.647360202  Highly sign.
KBL2_097      & RBL4_095      >560.223787202  Highly sign.
KBL4_096      & RBL4_095      >608.250206200  Highly sign.
KBL5_096      & RBL4_095      >508.170725202  Highly sign.
KOL1_062      & RBL4_095      >571.298442202  Highly sign.
KTE1_096      & RBL4_095      >667.358992202  Highly sign.
KTE2_096      & RBL4_095      >536.639432202  Highly sign.
KTE4_066      & RBL4_095      >506.729516202  Highly sign.
KTE5_096      & RBL4_095      >577.364061202  Highly sign.
KTE6_096      & RBL4_095      >494.567396202  Highly sign.
KTE7_096      & RBL4_095      >549.071618202  Highly sign.
KTE8_096      & RBL4_095      >583.273333202  Highly sign.
KTE9_064      & RBL4_095      >500.810897202  Highly sign.
KTL1_095      & RBL4_095      >481.606154202  Highly sign.
KTL2_095      & RBL4_095      >571.716045202  Highly sign.
RBL1_095      & RBL4_095      203.071007198  0.387369
RBL2_095      & RBL4_095      186.450319198  0.711768
RBL3_095      & RBL4_095      194.556117198  0.555897
FBM1_095      & RTE1_095      >350.489347198  Highly sign.
FBM2_095      & RTE1_095      >291.423730200  <0.000026
FBM3_095      & RTE1_095      >358.914445198  Highly sign.
FBM4_095      & RTE1_095      >411.856382198  Highly sign.
FTM1_095      & RTE1_095      >352.740808202  Highly sign.
FTM2_095      & RTE1_095      >313.150049200  <0.000001
FTM3_093      & RTE1_095      >345.634738202  Highly sign.
FTM4_078      & RTE1_095      >262.088794202  <0.002827
FTM5_095      & RTE1_095      >308.139315200  <0.000001
FTM6_095      & RTE1_095      >303.072862200  <0.000004
KBL1_096      & RTE1_095      >582.836590202  Highly sign.
KBL2_097      & RTE1_095      >646.634458202  Highly sign.
KBL4_096      & RTE1_095      >569.445799202  Highly sign.
KBL5_096      & RTE1_095      >600.635149202  Highly sign.
KOL1_062      & RTE1_095      >699.006600202  Highly sign.
KTE1_096      & RTE1_095      >670.265631202  Highly sign.
KTE2_096      & RTE1_095      >563.055039202  Highly sign.
KTE4_066      & RTE1_095      >616.057106202  Highly sign.
KTE5_096      & RTE1_095      >564.592228202  Highly sign.
KTE6_096      & RTE1_095      >636.665356202  Highly sign.
KTE7_096      & RTE1_095      >707.900283202  Highly sign.
KTE8_096      & RTE1_095      >639.429577202  Highly sign.
KTE9_064      & RTE1_095      >588.267747202  Highly sign.
KTL1_095      & RTE1_095      >619.070975202  Highly sign.
KTL2_095      & RTE1_095      >655.197310202  Highly sign.
RBL1_095      & RTE1_095      >377.136317198  Highly sign.
RBL2_095      & RTE1_095      >465.477807200  Highly sign.
RBL3_095      & RTE1_095      >433.224257200  Highly sign.
RBL4_095      & RTE1_095      >401.150961200  Highly sign.
FBM1_095      & RTE2_095      >364.558408200  Highly sign.
FBM2_095      & RTE2_095      >373.799698200  Highly sign.
FBM3_095      & RTE2_095      >287.646270200  <0.000049
FBM4_095      & RTE2_095      >410.582199200  Highly sign.
FTM1_095      & RTE2_095      >347.441381202  Highly sign.
FTM2_095      & RTE2_095      >328.484347200  Highly sign.
FTM3_093      & RTE2_095      >356.963936202  Highly sign.
FTM4_078      & RTE2_095      >269.338001202  <0.001079
FTM5_095      & RTE2_095      >333.903468202  Highly sign.
FTM6_095      & RTE2_095      >318.949698202  <0.000000
KBL1_096      & RTE2_095      >627.241064202  Highly sign.
KBL2_097      & RTE2_095      >578.514440202  Highly sign.
KBL4_096      & RTE2_095      >614.803878202  Highly sign.
KBL5_096      & RTE2_095      >540.963709202  Highly sign.
KOL1_062      & RTE2_095      >692.113458202  Highly sign.
KTE1_096      & RTE2_095      >644.207072202  Highly sign.
KTE2_096      & RTE2_095      >642.818256202  Highly sign.
KTE4_066      & RTE2_095      >639.905543202  Highly sign.
KTE5_096      & RTE2_095      >593.625886202  Highly sign.
KTE6_096      & RTE2_095      >573.619105202  Highly sign.
KTE7_096      & RTE2_095      >653.257434202  Highly sign.
KTE8_096      & RTE2_095      >657.352388202  Highly sign.
KTE9_064      & RTE2_095      >569.513272202  Highly sign.
KTL1_095      & RTE2_095      >601.741041202  Highly sign.
KTL2_095      & RTE2_095      >566.513214202  Highly sign.
RBL1_095      & RTE2_095      >431.794216200  Highly sign.
RBL2_095      & RTE2_095      >414.916983200  Highly sign.
RBL3_095      & RTE2_095      >416.575564200  Highly sign.
RBL4_095      & RTE2_095      >438.485814200  Highly sign.
RTE1_095      & RTE2_095      216.048143198  0.180302
FBM1_095      & RUL1_096      >510.876048202  Highly sign.
FBM2_095      & RUL1_096      >531.977285202  Highly sign.
FBM3_095      & RUL1_096      >564.595447202  Highly sign.
FBM4_095      & RUL1_096      >604.175679202  Highly sign.
FTM1_095      & RUL1_096      >510.024692202  Highly sign.
FTM2_095      & RUL1_096      >651.421280202  Highly sign.
FTM3_093      & RUL1_096      >624.593407202  Highly sign.
FTM4_078      & RUL1_096      >501.002997202  Highly sign.
FTM5_095      & RUL1_096      >649.193182202  Highly sign.
FTM6_095      & RUL1_096      >477.344112202  Highly sign.
KBL1_096      & RUL1_096      >681.001687202  Highly sign.
KBL2_097      & RUL1_096      >674.910742202  Highly sign.
KBL4_096      & RUL1_096      >690.245407202  Highly sign.
KBL5_096      & RUL1_096      >719.216195202  Highly sign.
KOL1_062      & RUL1_096      >582.630138202  Highly sign.
KTE1_096      & RUL1_096      >560.071409202  Highly sign.
KTE2_096      & RUL1_096      >690.104965202  Highly sign.
KTE4_066      & RUL1_096      >629.901682202  Highly sign.
KTE5_096      & RUL1_096      >673.853653202  Highly sign.
KTE6_096      & RUL1_096      >657.712081202  Highly sign.
