P-value for each population pair across all loci
(Fisher's method)
-----------------------------------------------------
Population pair               Chi2      df   P-Value
RBL1_095      & RBL2_095      233.950596200  0.050196
FBM1_095      & RBL3_095      310.272298202  0.000002
FBM2_095      & RBL3_095      315.431960200  0.000000
FBM3_095      & RBL3_095      337.419709200  Highly sign.
FBM4_095      & RBL3_095      >423.523600200  Highly sign.
FOM1_095      & RBL3_095      242.840091204  0.032496
FTM2_095      & RBL3_095      216.862832202  0.225067
FTM3_093      & RBL3_095      268.039623204  0.001752
FTM4_078      & RBL3_095      295.889673202  0.000019
FTM5_095      & RBL3_095      279.382966202  0.000255
FTM6_095      & RBL3_095      >379.969387204  Highly sign.
KBL1_096      & RBL3_095      >524.114916204  Highly sign.
KBL2_097      & RBL3_095      >555.400148204  Highly sign.
KBL4_096      & RBL3_095      >631.816820202  Highly sign.
KBL5_096      & RBL3_095      >566.558756204  Highly sign.
KOL1_062      & RBL3_095      >553.733487204  Highly sign.
KTE1_096      & RBL3_095      >629.163980204  Highly sign.
KTE2_096      & RBL3_095      >574.159721204  Highly sign.
KTE4_066      & RBL3_095      >515.631670204  Highly sign.
KTE5_096      & RBL3_095      >593.367125204  Highly sign.
KTE6_096      & RBL3_095      >570.077511204  Highly sign.
KTE7_096      & RBL3_095      >547.292366204  Highly sign.
KTE8_096      & RBL3_095      >660.879092204  Highly sign.
KTE9_064      & RBL3_095      >534.367906204  Highly sign.
KTL1_095      & RBL3_095      >471.836610204  Highly sign.
KTL2_095      & RBL3_095      >541.383047204  Highly sign.
RBL1_095      & RBL3_095      162.950566200  0.974232
RBL2_095      & RBL3_095      190.546283200  0.672563
FBM1_095      & RBL4_095      >339.307819202  Highly sign.
FBM2_095      & RBL4_095      >289.011284200  <0.000039
FBM3_095      & RBL4_095      >348.977575200  Highly sign.
FBM4_095      & RBL4_095      >444.401178200  Highly sign.
FOM1_095      & RBL4_095      289.259855204  0.000081
FTM2_095      & RBL4_095      298.499089202  0.000012
FTM3_093      & RBL4_095      289.233050204  0.000081
FTM4_078      & RBL4_095      >314.619966202  <0.000001
FTM5_095      & RBL4_095      311.459799202  0.000001
FTM6_095      & RBL4_095      >463.679045204  Highly sign.
KBL1_096      & RBL4_095      >582.209438204  Highly sign.
KBL2_097      & RBL4_095      >568.497123204  Highly sign.
KBL4_096      & RBL4_095      >616.350938202  Highly sign.
KBL5_096      & RBL4_095      >515.660524204  Highly sign.
KOL1_062      & RBL4_095      >582.787651204  Highly sign.
KTE1_096      & RBL4_095      >669.939405204  Highly sign.
KTE2_096      & RBL4_095      >548.279166204  Highly sign.
KTE4_066      & RBL4_095      >510.836034204  Highly sign.
KTE5_096      & RBL4_095      >582.350729204  Highly sign.
KTE6_096      & RBL4_095      >499.705712204  Highly sign.
KTE7_096      & RBL4_095      >554.393684204  Highly sign.
KTE8_096      & RBL4_095      >587.517130204  Highly sign.
KTE9_064      & RBL4_095      >503.863794204  Highly sign.
KTL1_095      & RBL4_095      >484.305863204  Highly sign.
KTL2_095      & RBL4_095      >575.754228204  Highly sign.
RBL1_095      & RBL4_095      203.071007200  0.426181
RBL2_095      & RBL4_095      189.226864200  0.696827
RBL3_095      & RBL4_095      194.556117200  0.595365
FBM1_095      & RTE1_095      >350.887083200  Highly sign.
FBM2_095      & RTE1_095      >293.192597202  <0.000029
FBM3_095      & RTE1_095      >366.430818200  Highly sign.
FBM4_095      & RTE1_095      >415.863745200  Highly sign.
FOM1_095      & RTE1_095      >354.117390204  Highly sign.
FTM2_095      & RTE1_095      >313.556947202  <0.000001
FTM3_093      & RTE1_095      >345.634738204  Highly sign.
FTM4_078      & RTE1_095      >262.304766204  <0.003667
FTM5_095      & RTE1_095      >311.211634202  <0.000001
FTM6_095      & RTE1_095      >305.553555202  <0.000004
KBL1_096      & RTE1_095      >584.915938204  Highly sign.
KBL2_097      & RTE1_095      >648.581133204  Highly sign.
KBL4_096      & RTE1_095      >571.408407204  Highly sign.
